Taxa,Combined_phy_cut,Citation
Amblema_plicata,Broadcast,Howard 1914; Utterback 1915
Cambarunio_taeniatus,Large_Lure,"Haag, 2012"
Cyclonaias_kieneriana,Mantle_magazine,"Haag, 2012"
Cyclonaias_necki,Mantle_magazine,"Haag, 2012"
Cyclonaias_nodulata,Mantle_magazine,"Haag, 2012"
Cyclonaias_pustulosa,Mantle_magazine,"Haag, 2012"
Cyclonaias_succissa,Mantle_magazine,"Haag, 2012"
Cyclonaias_tuberculata,Mantle_magazine,"Haag, 2012"
Cyprogenia_aberti,Dermersal_conglutinate,"Haag, 2012"
Cyprogenia_stegaria,Dermersal_conglutinate,"Haag, 2012"
Dromus_dromas,Dermersal_conglutinate,"Haag, 2012"
Ellipsaria_lineolata,Broadcast+Cryptic_Lure,"Sietman et al. 2018; Haag, 2012"
Elliptio_arca,Broadcast,Haag and Stanton 2003; Haag and Warren 2003
Elliptio_chipolaensis,Broadcast,Priester 2008 - Reported conglutinate with limited glochidia - considered broadcast
Elliptio_complanata,Broadcast,Barnhart et al. 2008
Elliptio_crassidens,Broadcast,"Haag, 2012"
Elliptio_shepardiana,Broadcast,Johnson et al. 2012
Epioblasma_brevidens,Cryptic_Lure,"Haag, 2012"
Epioblasma_capsaeformis,Cryptic_Lure,"Haag, 2012"
Epioblasma_torulosa,Cryptic_Lure,"Haag, 2012"
Epioblasma_triquetra,Cryptic_Lure,"Haag, 2012"
Eurynia_dilatata,Broadcast,"Haag, 2012"
Fusconaia_escambia,Pelagic_conglutinate,"Haag, 2012"
Fusconaia_flava,Pelagic_conglutinate,"Haag, 2012"
Fusconaia_masoni,Pelagic_conglutinate,"Haag, 2012"
Fusconaia_mitchelli,Pelagic_conglutinate,"Haag, 2012"
Hamiota_perovalis,Large_Lure,"Haag, 2012"
Hamiota_subangulata,Large_Lure,"Haag, 2012"
Lampsilis_bracteata,Large_Lure,"Haag, 2012"
Lampsilis_cardium,Large_Lure,"Haag, 2012"
Lampsilis_dolabraeformis,Large_Lure,"Haag, 2012"
Lampsilis_fasciola,Large_Lure,"Haag, 2012"
Lampsilis_floridensis,Large_Lure,"Haag, 2012"
Lampsilis_higginsii,Large_Lure,"Haag, 2012"
Lampsilis_hydiana,Large_Lure,"Haag, 2012"
Lampsilis_ornata,Large_Lure,"Haag, 2012"
Lampsilis_satura,Large_Lure,"Haag, 2012"
Lampsilis_siliquoidea,Large_Lure,"Haag, 2012"
Lampsilis_splendida,Large_Lure,"Haag, 2012"
Lampsilis_straminea,Large_Lure,"Haag, 2012"
Lampsilis_teres,Large_Lure,"Haag, 2012"
Leaunio_vanuxemensis,Cryptic_Lure,"Haag, 2012"
