,Amblema_plicata,Cambarunio_taeniatus,Cyclonaias_kieneriana,Cyclonaias_necki,Cyclonaias_nodulata,Cyclonaias_pustulosa,Cyclonaias_succissa,Cyclonaias_tuberculata,Cyprogenia_aberti,Cyprogenia_stegaria,Cyrtonaias_tampicoensis,Dromus_dromas,Ellipsaria_lineolata,Elliptio_arca,Elliptio_chipolaensis,Elliptio_complanata,Elliptio_crassidens,Elliptio_shepardiana,Elliptoideus_sloatianus,Epioblasma_brevidens,Epioblasma_capsaeformis,Epioblasma_torulosa,Epioblasma_triquetra,Eurynia_dilatata,Fusconaia_escambia,Fusconaia_flava,Fusconaia_masoni,Fusconaia_mitchelli,Glebula_rotundata,Hamiota_perovalis,Hamiota_subangulata,Hemistena_lata,Lampsilis_bracteata,Lampsilis_cardium,Lampsilis_dolabraeformis,Lampsilis_fasciola,Lampsilis_floridensis,Lampsilis_higginsii,Lampsilis_hydiana,Lampsilis_ornata,Lampsilis_satura,Lampsilis_siliquoidea,Lampsilis_splendida,Lampsilis_straminea,Lampsilis_teres,Leaunio_vanuxemensis,Lemiox_rimosus,Ligumia_recta,Medionidus_acutissimus,Medionidus_conradicus,Medionidus_penicillatus,Medionidus_walkeri,Megalonaias_nervosa,Obovaria_olivaria,Obovaria_unicolor,Ortmanniana_ligamentina,Ortmanniana_pectorosa,Paetulunio_fabalis,Parvaspina_collina,Plethobasus_cyphyus,Pleurobema_cordatum,Pleurobema_decisum,Pleurobema_oviforme,Pleurobema_plenum,Pleurobema_pyriforme,Pleurobema_rubrum,Pleurobema_sintoxia,Pleurobema_strodeanum,Potamilus_alatus,Potamilus_amphichaenus,Potamilus_capax,Potamilus_fragilis,Potamilus_inflatus,Potamilus_leptodon,Potamilus_metnecktayi,Potamilus_ohiensis,Ptychobranchus_fasciolaris,Ptychobranchus_greenii,Ptychobranchus_jonesi,Ptychobranchus_occidentalis,Ptychobranchus_subtentus,Quadrula_fragosa,Quadrula_quadrula,Reginaia_ebenus,Sagittunio_nasutus,Sagittunio_subrostratus,Theliderma_cylindrica,Theliderma_metanevra,Theliderma_sparsa,Toxolasma_lividum,Toxolasma_parvum,Toxolasma_texasiense,Tritogonia_nobilis,Tritogonia_verrucosa,Truncilla_donaciformis,Truncilla_truncata,Villosa_delumbis,Villosa_vibex,Villosa_villosa
Acipenser_brevirostrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acipenser_fulvescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acipenser_oxyrinchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa_alabamae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa_chrysochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambloplites_ariommus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambloplites_rupestris,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameiurus_melas,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameiurus_natalis,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ameiurus_nebulosus,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ammocrypta_beanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammocrypta_meridiana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammocrypta_pellucida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
